ref,nome,codigo,carga_horaria,tipo,periodo,area,pre_requisitos_refs,pre_requisito_observacao,origem
1A,Cálculo Dif. e Int. 1,PROD0001,60,Obrigatória,1,,,,Matriz por período
1B,Geometria Analítica,PROD0002,60,Obrigatória,1,,,,Matriz por período
1C,Química Geral 1,PROD0005,60,Obrigatória,1,,,,Matriz por período
1D,Introdução ao Desenho,PROD0017,75,Obrigatória,1,,,,Matriz por período
1E,Elementos de Sociologia,PROD0018,30,Obrigatória,1,,,,Matriz por período
1F,Introdução à Eng. de Produção,PROD0024,30,Obrigatória,1,,,,Matriz por período
2A,Física Geral 1,PROD0003,60,Obrigatória,2,,,,Matriz por período
2B,Algoritmos e Programação,PROD0004,60,Obrigatória,2,,,,Matriz por período
2C,Probabilidade e Estatística,PROD0006,60,Obrigatória,2,,1A,,Matriz por período
2D,Cálculo Dif. e Int. 2,PROD0007,60,Obrigatória,2,,1A,,Matriz por período
2E,Álgebra Linear,PROD0009,60,Obrigatória,2,,1B,,Matriz por período
2F,Administração para Engenharia,PROD0020,60,Obrigatória,2,,1F,,Matriz por período
3A,Cálculo Dif. e Int. 3,PROD0008,60,Obrigatória,3,,1B;2D,,Matriz por período
3B,Física Geral 2,PROD0010,60,Obrigatória,3,,2A,,Matriz por período
3C,Mecânica 1,PROD0011,60,Obrigatória,3,,2A,,Matriz por período
3D,Cálculo Numérico,PROD0013,60,Obrigatória,3,,2B;2D,,Matriz por período
3E,Teoria do Trabalho,PROD0021,30,Obrigatória,3,,,,Matriz por período
3F,Ecologia Aplicada à Engenharia,PROD0022,30,Obrigatória,3,,1F,,Matriz por período
3G,Gestão da Produção 1,PROD0032,60,Obrigatória,3,,2F,,Matriz por período
4A,Cálculo Dif. e Int. 4,PROD0012,60,Obrigatória,4,,,Na imagem o pré-requisito aparece como '??'; precisa ser confirmado.,Matriz por período
4B,Eletrotécnica,PROD0014,60,Obrigatória,4,,3B,,Matriz por período
4C,Resistência dos Materiais 1,PROD0015,60,Obrigatória,4,,3C,,Matriz por período
4D,Fenômenos de Transporte,PROD0016,60,Obrigatória,4,,2A;3A,,Matriz por período
4E,Engenharia Econômica,PROD0023,60,Obrigatória,4,,1A,,Matriz por período
4F,Pesquisa Operacional 1,PROD0033,60,Obrigatória,4,,2C;2D;2E;1F,,Matriz por período
